Tracer diameter (nm),Constraint radius (nm),Half-life (s)
10.0,0.0,0.0037249391450764006
10.0,2.0,0.003770665213163105
10.0,4.0,0.0031324378223506824
10.0,6.0,0.0032648009733098715
10.0,8.0,0.003219505532129958
10.0,10.0,0.003454684565088906
10.0,12.0,0.003404226736063798
11.0,0.0,0.004620025910156596
11.0,2.0,0.004676571771913719
11.0,4.0,0.00475847444637488
11.0,6.0,0.004189204327388621
11.0,8.0,0.004589073568451884
11.0,10.0,0.004680208035771085
11.0,12.0,0.004414548207559758
12.0,0.0,0.00725779951020956
12.0,2.0,0.006604351403611164
12.0,4.0,0.0065461002295820105
12.0,6.0,0.007028156765880547
12.0,8.0,0.006574508531497153
12.0,10.0,0.006454318630594388
12.0,12.0,0.007124636700579566
13.0,0.0,0.009976596351699387
13.0,2.0,0.009371814005106454
13.0,4.0,0.008202425875472099
13.0,6.0,0.009634809967949211
13.0,8.0,0.0086399120423651
13.0,10.0,0.009097520338577749
13.0,12.0,0.008075882598436973
14.0,0.0,0.01573563537562223
14.0,2.0,0.014273116877739453
14.0,4.0,0.013253920381008514
14.0,6.0,0.012842626128133725
14.0,8.0,0.014151300325569618
14.0,10.0,0.011634903064296537
14.0,12.0,0.011054937425123097
15.0,0.0,0.024413089778255084
15.0,2.0,0.02233091738684174
15.0,4.0,0.018596975455072055
15.0,6.0,0.019055066197162834
15.0,8.0,0.017976164806047513
15.0,10.0,0.019747411973612357
15.0,12.0,0.019663982909953952
16.0,0.0,0.0420766356251859
16.0,2.0,0.03249464675512135
16.0,4.0,0.032472240014637964
16.0,6.0,0.031007601528318655
16.0,8.0,0.030910311964550904
16.0,10.0,0.026590775221927817
16.0,12.0,0.027241889661142233
17.0,0.0,0.07904177180070124
17.0,2.0,0.05211905747831299
17.0,4.0,0.053027076157840206
17.0,6.0,0.046949633696279094
17.0,8.0,0.05148953951026625
17.0,10.0,0.04696335793741851
17.0,12.0,0.04398049302499503
18.0,0.0,0.14518418136725803
18.0,2.0,0.12392392489305291
18.0,4.0,0.09830567712248915
18.0,6.0,0.07914990933657401
18.0,8.0,0.08532701966881953
18.0,10.0,0.06404023799922356
18.0,12.0,0.06739468523379644
19.0,0.0,0.3465977346485003
19.0,2.0,0.26336612626272005
19.0,4.0,0.21502720741040796
19.0,6.0,0.14079399538125056
19.0,8.0,0.15080978591792368
19.0,10.0,0.13778601300062038
19.0,12.0,0.10440034299330109
20.0,0.0,0.49381157599104164
20.0,2.0,0.5141016148834516
20.0,4.0,0.37251540672404504
20.0,6.0,0.2961574570967995
20.0,8.0,0.27731539815665984
20.0,10.0,0.2277003036325659
20.0,12.0,0.18701683523335158
