Tracer diameter (nm),Constraint radius (nm),Half-life (s)
10.0,0.0,0.003650662351686297
10.0,2.0,0.002878972993854862
10.0,4.0,0.0029795770705577725
10.0,6.0,0.002793468607019113
10.0,8.0,0.0029970196951936354
10.0,10.0,0.003048766470657957
10.0,12.0,0.0026320825105999833
11.0,0.0,0.004384083393785867
11.0,2.0,0.0042208230930741285
11.0,4.0,0.004286793524499594
11.0,6.0,0.003560137085520821
11.0,8.0,0.0036333816121702006
11.0,10.0,0.003626168872353084
11.0,12.0,0.003610956259900584
12.0,0.0,0.007372695032707652
12.0,2.0,0.006261706963049669
12.0,4.0,0.0056668106655256645
12.0,6.0,0.005968742433857766
12.0,8.0,0.005031216778158232
12.0,10.0,0.004985824279712268
12.0,12.0,0.005011136679842757
13.0,0.0,0.01039038252098287
13.0,2.0,0.009768192005365547
13.0,4.0,0.007910356863212422
13.0,6.0,0.007097419615925061
13.0,8.0,0.006538530739279435
13.0,10.0,0.006291339167307707
13.0,12.0,0.00590297397759842
14.0,0.0,0.01620311744107792
14.0,2.0,0.013633834792799815
14.0,4.0,0.01191430484828894
14.0,6.0,0.009539205664925667
14.0,8.0,0.008900627707544817
14.0,10.0,0.00888623550509703
14.0,12.0,0.007870143520556384
15.0,0.0,0.023563358193959563
15.0,2.0,0.020389004279179834
15.0,4.0,0.01896111079863627
15.0,6.0,0.014898065356355012
15.0,8.0,0.012460407596559931
15.0,10.0,0.010820289331663622
15.0,12.0,0.01046348902949163
16.0,0.0,0.03566504660270581
16.0,2.0,0.03395174133763696
16.0,4.0,0.027879195480505624
16.0,6.0,0.021065498479803216
16.0,8.0,0.01928127133666535
16.0,10.0,0.01567250282453779
16.0,12.0,0.014124935585026156
17.0,0.0,0.08098475921674693
17.0,2.0,0.046937302478377366
17.0,4.0,0.043335434279329295
17.0,6.0,0.0322631343776126
17.0,8.0,0.027795056782768578
17.0,10.0,0.024690531919176868
17.0,12.0,0.019584884801265554
18.0,0.0,0.1366109742282994
18.0,2.0,0.1190719729144728
18.0,4.0,0.073573129607146
18.0,6.0,0.05164878446308195
18.0,8.0,0.044474495156449474
18.0,10.0,0.03228358455465868
18.0,12.0,0.0313555467394435
19.0,0.0,0.3239472319051962
19.0,2.0,0.2326986126440318
19.0,4.0,0.12393600363922799
19.0,6.0,0.09373699984254895
19.0,8.0,0.06446225170967168
19.0,10.0,0.05327570942826431
19.0,12.0,0.04453298400326321
20.0,0.0,0.6254915759434665
20.0,2.0,0.42666748449088354
20.0,4.0,0.19744948754855915
20.0,6.0,0.1539903844030561
20.0,8.0,0.10242176386052892
20.0,10.0,0.08822003892552638
20.0,12.0,0.08937708685678841
